,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
335,Muncar,ID,75.11,overcast clouds,-8.4333,114.3333,Zaky Homestay
338,Coihueco,CL,78.76,clear sky,-36.6167,-71.8333,Frutillares Centro Coihueco
342,Mayumba,GA,78.24,broken clouds,-3.432,10.6554,LIKWALE LODGE
346,Florianopolis,BR,77.13,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
348,Kapit,MY,72.82,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
352,Farafangana,MG,77.61,light rain,-22.8167,47.8333,Miarina
355,Nouadhibou,MR,71.58,sand,20.931,-17.0347,El Medina
359,Portland,US,70.95,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
362,Victoria,HK,73.45,clear sky,22.2855,114.1577,Mini Hotel Central
364,Madingou,CG,77.25,light rain,-4.1536,13.55,HOTEL KIM ELISA
367,Huarmey,PE,75.63,overcast clouds,-10.0681,-78.1522,Hotel Miramar
372,Waingapu,ID,77.74,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
386,Hervey Bay,AU,71.02,light rain,-25.2986,152.8535,Shelly Bay Resort
387,Ampanihy,MG,74.35,broken clouds,-24.7,44.75,Angora Hotel
399,Punta Alta,AR,70.79,overcast clouds,-38.8759,-62.0736,Center Hotel Punta Alta
400,Lisala,CD,76.15,few clouds,2.15,21.5167,Flat hôtel tozelaka
403,Alginet,ES,74.05,clear sky,39.2667,-0.4667,Hotel Duomo
406,Gualaquiza,EC,70.88,moderate rain,-3.4,-78.55,Hotel Merceditas
415,Tres Arroyos,AR,74.08,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
425,Phonhong,LA,74.71,scattered clouds,18.5007,102.4166,Manyvong Guest House
430,Kasongo,CD,70.41,light rain,-4.45,26.6667,Guest Hôtel
434,Saint-Leu,RE,77.86,scattered clouds,-21.15,55.2833,La Caz Oceane
437,Atambua,ID,72.75,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
441,Tura,IN,71.67,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
446,Sembe,CG,78.24,scattered clouds,1.6481,14.5806,
447,Banjarmasin,ID,77.14,few clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
448,Luganville,VU,79.05,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
449,Maneadero,MX,76.1,clear sky,31.7167,-116.5667,Casa De Thompson
454,Beloha,MG,74.82,light rain,-25.1667,45.05,
457,Innisfail,AU,72.9,overcast clouds,-17.5333,146.0333,Moondarra Motel
467,Zarand,IR,71.15,scattered clouds,30.8127,56.564,مهمانسرای فناپ
470,Nayudupeta,IN,77.59,clear sky,13.9,79.9,Hotel Manju
471,Dingle,PH,74.44,very heavy rain,10.9995,122.6711,SEGAYA PROPERTY
488,Taltal,CL,70.09,few clouds,-25.4,-70.4833,Residencial Karime
490,Nalut,LY,70.72,clear sky,30.3333,10.85,
493,Sainte-Suzanne,RE,77.22,overcast clouds,-20.9061,55.6089,Gites Ango
494,San Policarpo,PH,77.49,heavy intensity rain,12.1791,125.5072,Agapita M. Nicart
497,Pombas,CV,73.18,few clouds,17.1503,-25.0201,Paul Paradis
500,Gorontalo,ID,74.46,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
504,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,Bungalow 63
505,Bontang,ID,75.99,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
522,Nelson Bay,AU,70.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
528,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
532,Aloleng,PH,79.52,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
538,Loralai,PK,74.62,clear sky,30.3705,68.598,Saddam Hotel & Resturant
539,Tocopilla,CL,72.34,scattered clouds,-22.092,-70.1979,Hotel Galvarino
552,Mount Isa,AU,71.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
564,Boyolangu,ID,74.66,broken clouds,-8.1181,111.8935,Yos ega cv
570,Samarinda,ID,72.57,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
571,Galveston,US,76.17,clear sky,29.3669,-94.9669,Crystal Suites
574,Sao Filipe,CV,72.81,scattered clouds,14.8961,-24.4956,Hotel Xaguate
575,Basco,PH,74.43,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
581,Linhares,BR,79.97,scattered clouds,-19.3911,-40.0722,Hotel Conceição
584,Meulaboh,ID,76.23,overcast clouds,4.1363,96.1285,Kost Pria
589,Pascagoula,US,75.42,clear sky,30.3658,-88.5561,Regency Inn
592,Tadine,NC,78.69,heavy intensity rain,-21.55,167.8833,
